ctgy,business,bus_type,short_description,purpose,long_description,cost,points
Local,Uptown,,Entertainment District,,A wonderful day or night spot for enjoying family time.,500.00,5000
Local,Uptown,,Opportunity District,,A part of town that caters to learning opportunities.,500.00,5000
Local,Uptown,,Investment District,,A place for the money crowd.,500.00,5000
Local,Uptown,,Residential District,,"An area that includes business, entertainment, and good living.",500.00,5000
Local,Downtown,,Business District,,Takestock city business area,500.00,5000
Local,Downtown,,Wall Street District,,Takestock city stock and commodity market area.,500.00,5000
Local,Downtown,,Market District,,Takestock city business stores for shopping and eating.,500.00,5000
Remote,Amuze Park,Entertainment,New Orleans,Business Conference,Establishment seeking to expand its services and amenities in new locations. It also looks for opportunities to purchase and improve existing entertainment locations.,1200.00,12000
Remote,Amuze Park,Entertainment,Chicago,Business Meeting,Establishment seeking to expand its services and amenities in new locations. It also looks for opportunities to purchase and improve existing entertainment locations.,1800.00,18000
Remote,Amuze Park,Entertainment,Grand Canyon National Park,Business Operation Review,Establishment seeking to expand its services and amenities in new locations. It also looks for opportunities to purchase and improve existing entertainment locations.,1500.00,15000
Remote,Amuze Park,Entertainment,New York City,Business Audit,Establishment seeking to expand its services and amenities in new locations. It also looks for opportunities to purchase and improve existing entertainment locations.,3000.00,30000
Remote,Amuze Park,Entertainment,Yellowstone National Park,Development Oversight,Establishment seeking to expand its services and amenities in new locations. It also looks for opportunities to purchase and improve existing entertainment locations.,2000.00,20000
Remote,Amuze Park,Entertainment,Las Vegas,New Venture,Establishment seeking to expand its services and amenities in new locations. It also looks for opportunities to purchase and improve existing entertainment locations.,4000.00,40000
Remote,Amuze Park,Entertainment,Washington DC,Meeting with Gov. Officials,Establishment seeking to expand its services and amenities in new locations. It also looks for opportunities to purchase and improve existing entertainment locations.,1300.00,13000
Remote,Amuze Park,Entertainment,San Diego,Business Seminar,Establishment seeking to expand its services and amenities in new locations. It also looks for opportunities to purchase and improve existing entertainment locations.,1900.00,19000
Remote,Amuze Park,Entertainment,Charleston,Office Training,Establishment seeking to expand its services and amenities in new locations. It also looks for opportunities to purchase and improve existing entertainment locations.,1000.00,10000
Remote,Amuze Park,Entertainment,Orlando,New Office Opening,Establishment seeking to expand its services and amenities in new locations. It also looks for opportunities to purchase and improve existing entertainment locations.,2500.00,25000
Remote,Amuze Park,Entertainment,Carribean Island,Employment Review,Establishment seeking to expand its services and amenities in new locations. It also looks for opportunities to purchase and improve existing entertainment locations.,3500,35000
Remote,Amuze Park,Entertainment,Hawaian Island,Sales Review Meetings,Establishment seeking to expand its services and amenities in new locations. It also looks for opportunities to purchase and improve existing entertainment locations.,4500,45000
Remote,Amuze Park,Entertainment,Key West,Land Development,Establishment seeking to expand its services and amenities in new locations. It also looks for opportunities to purchase and improve existing entertainment locations.,2500,25000
Remote,Amuze Park,Entertainment,San Francisco,Equipment Procurement,Establishment seeking to expand its services and amenities in new locations. It also looks for opportunities to purchase and improve existing entertainment locations.,2500,25000
Remote,Amuze Park,Entertainment,Houston,Supply Management,Establishment seeking to expand its services and amenities in new locations. It also looks for opportunities to purchase and improve existing entertainment locations.,2500,25000
Remote,Vacation Resort,Hospitality,New Orleans,Business Conference,"Commercial establishment seeking to expand its variety of services and amenities to vacationers, including food, drink, accommodation, swimming, sports, entertainment, and shopping.",1200.00,12000
Remote,Vacation Resort,Hospitality,Chicago,Business Meeting,"Commercial establishment seeking to expand its variety of services and amenities to vacationers, including food, drink, accommodation, swimming, sports, entertainment, and shopping.",1800.00,18000
Remote,Vacation Resort,Hospitality,Grand Canyon National Park,Business Operation Review,"Commercial establishment seeking to expand its variety of services and amenities to vacationers, including food, drink, accommodation, swimming, sports, entertainment, and shopping.",1500.00,15000
Remote,Vacation Resort,Hospitality,New York City,Business Audit,"Commercial establishment seeking to expand its variety of services and amenities to vacationers, including food, drink, accommodation, swimming, sports, entertainment, and shopping.",3000.00,30000
Remote,Vacation Resort,Hospitality,Yellowstone National Park,Development Oversight,"Commercial establishment seeking to expand its variety of services and amenities to vacationers, including food, drink, accommodation, swimming, sports, entertainment, and shopping.",2000.00,20000
Remote,Vacation Resort,Hospitality,Las Vegas,New Venture,"Commercial establishment seeking to expand its variety of services and amenities to vacationers, including food, drink, accommodation, swimming, sports, entertainment, and shopping.",4000.00,40000
Remote,Vacation Resort,Hospitality,Washington DC,Meeting with Gov. Officials,"Commercial establishment seeking to expand its variety of services and amenities to vacationers, including food, drink, accommodation, swimming, sports, entertainment, and shopping.",1300.00,13000
Remote,Vacation Resort,Hospitality,San Diego,Business Seminar,"Commercial establishment seeking to expand its variety of services and amenities to vacationers, including food, drink, accommodation, swimming, sports, entertainment, and shopping.",1900.00,19000
Remote,Vacation Resort,Hospitality,Charleston,Office Training,"Commercial establishment seeking to expand its variety of services and amenities to vacationers, including food, drink, accommodation, swimming, sports, entertainment, and shopping.",1000.00,10000
Remote,Vacation Resort,Hospitality,Orlando,New Office Opening,"Commercial establishment seeking to expand its variety of services and amenities to vacationers, including food, drink, accommodation, swimming, sports, entertainment, and shopping.",2500.00,25000
Remote,Vacation Resort,Hospitality,Carribean Island,Employment Review,"Commercial establishment seeking to expand its variety of services and amenities to vacationers, including food, drink, accommodation, swimming, sports, entertainment, and shopping.",3500,35000
Remote,Vacation Resort,Hospitality,Hawaian Island,Sales Review Meetings,"Commercial establishment seeking to expand its variety of services and amenities to vacationers, including food, drink, accommodation, swimming, sports, entertainment, and shopping.",4500,45000
Remote,Vacation Resort,Hospitality,Key West,Land Development,"Commercial establishment seeking to expand its variety of services and amenities to vacationers, including food, drink, accommodation, swimming, sports, entertainment, and shopping.",2500,25000
Remote,Vacation Resort,Hospitality,San Francisco,Equipment Procurement,"Commercial establishment seeking to expand its variety of services and amenities to vacationers, including food, drink, accommodation, swimming, sports, entertainment, and shopping.",2500,25000
Remote,Vacation Resort,Hospitality,Houston,Supply Management,"Commercial establishment seeking to expand its variety of services and amenities to vacationers, including food, drink, accommodation, swimming, sports, entertainment, and shopping.",2500,25000
Remote,Rest & Recreation Park,Entertainment,New Orleans,Business Conference,"Commercial business addressing the needs of  vacationers, with food and drink events, accommodation, swimming, sports, entertainment, and shopping.",1200.00,12000
Remote,Rest & Recreation Park,Entertainment,Chicago,Business Meeting,"Commercial business addressing the needs of  vacationers, with food and drink events, accommodation, swimming, sports, entertainment, and shopping.",1800.00,18000
Remote,Rest & Recreation Park,Entertainment,Grand Canyon National Park,Business Operation Review,"Commercial business addressing the needs of  vacationers, with food and drink events, accommodation, swimming, sports, entertainment, and shopping.",1500.00,15000
Remote,Rest & Recreation Park,Entertainment,New York City,Business Audit,"Commercial business addressing the needs of  vacationers, with food and drink events, accommodation, swimming, sports, entertainment, and shopping.",3000.00,30000
Remote,Rest & Recreation Park,Entertainment,Yellowstone National Park,Development Oversight,"Commercial business addressing the needs of  vacationers, with food and drink events, accommodation, swimming, sports, entertainment, and shopping.",2000.00,20000
Remote,Rest & Recreation Park,Entertainment,Las Vegas,New Venture,"Commercial business addressing the needs of  vacationers, with food and drink events, accommodation, swimming, sports, entertainment, and shopping.",4000.00,40000
Remote,Rest & Recreation Park,Entertainment,Washington DC,Meeting with Gov. Officials,"Commercial business addressing the needs of  vacationers, with food and drink events, accommodation, swimming, sports, entertainment, and shopping.",1300.00,13000
Remote,Rest & Recreation Park,Entertainment,San Diego,Business Seminar,"Commercial business addressing the needs of  vacationers, with food and drink events, accommodation, swimming, sports, entertainment, and shopping.",1900.00,19000
Remote,Rest & Recreation Park,Entertainment,Charleston,Office Training,"Commercial business addressing the needs of  vacationers, with food and drink events, accommodation, swimming, sports, entertainment, and shopping.",1000.00,10000
Remote,Rest & Recreation Park,Entertainment,Orlando,New Office Opening,"Commercial business addressing the needs of  vacationers, with food and drink events, accommodation, swimming, sports, entertainment, and shopping.",2500.00,25000
Remote,Rest & Recreation Park,Entertainment,Carribean Island,Employment Review,"Commercial business addressing the needs of  vacationers, with food and drink events, accommodation, swimming, sports, entertainment, and shopping.",3500,35000
Remote,Rest & Recreation Park,Entertainment,Hawaian Island,Sales Review Meetings,"Commercial business addressing the needs of  vacationers, with food and drink events, accommodation, swimming, sports, entertainment, and shopping.",4500,45000
Remote,Rest & Recreation Park,Entertainment,Key West,Land Development,"Commercial business addressing the needs of  vacationers, with food and drink events, accommodation, swimming, sports, entertainment, and shopping.",2500,25000
Remote,Rest & Recreation Park,Entertainment,San Francisco,Equipment Procurement,"Commercial business addressing the needs of  vacationers, with food and drink events, accommodation, swimming, sports, entertainment, and shopping.",2500,25000
Remote,Rest & Recreation Park,Entertainment,Houston,Supply Management,"Commercial business addressing the needs of  vacationers, with food and drink events, accommodation, swimming, sports, entertainment, and shopping.",2500,25000
Remote,Pizza Place,Entertainment,New Orleans,Business Conference,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,1200.00,12000
Remote,Pizza Place,Entertainment,Chicago,Business Meeting,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,1800.00,18000
Remote,Pizza Place,Entertainment,Grand Canyon National Park,Business Operation Review,Fast food franchise dedicated to have customers appreciate the best of italian cuisine. The franchise is still expanding across the country.,1500.00,15000
